epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4664.44,0.96574,0.85489,1.1945,0.76144,0.54242,0.58896,0.39022,1.31311,1.0182,1.3136,0.000821206,0.000821206,0.000821206
43,4772.54,0.96665,0.83858,1.1919,0.7954,0.52632,0.59505,0.38953,1.30685,1.04418,1.29503,0.000800577,0.000800577,0.000800577
44,4879.85,0.95851,0.83103,1.19247,0.77602,0.5559,0.60653,0.40636,1.29999,1.03266,1.28869,0.000779948,0.000779948,0.000779948
45,4987.38,0.9502,0.81905,1.18605,0.76507,0.5628,0.61044,0.40565,1.30569,1.01624,1.29282,0.000759318,0.000759318,0.000759318
46,6044.57,0.95131,0.82625,1.18282,0.77143,0.55432,0.60748,0.40017,1.31375,1.01762,1.30154,0.000738689,0.000738689,0.000738689
47,6150.94,0.95228,0.81719,1.18142,0.76121,0.55959,0.61171,0.39988,1.30221,1.01614,1.29254,0.00071806,0.00071806,0.00071806
48,6257.99,0.938,0.79965,1.17474,0.77821,0.56465,0.6116,0.40632,1.31756,1.01647,1.30053,0.000697431,0.000697431,0.000697431
49,6365.04,0.93362,0.79794,1.1759,0.78483,0.57454,0.6115,0.41216,1.30605,1.00901,1.29115,0.000676802,0.000676802,0.000676802
50,6472.42,0.92255,0.78623,1.1625,0.77274,0.56956,0.61157,0.41575,1.29718,1.01677,1.28786,0.000656173,0.000656173,0.000656173
51,6579.89,0.92751,0.79347,1.17021,0.78125,0.55418,0.60933,0.40955,1.29997,1.00783,1.29121,0.000635544,0.000635544,0.000635544
52,8208.2,0.91511,0.77107,1.16186,0.78938,0.5594,0.61553,0.40619,1.28864,0.98149,1.28604,0.000614915,0.000614915,0.000614915
53,8314.88,0.91191,0.77102,1.1662,0.74136,0.58219,0.61162,0.41763,1.29834,0.99927,1.28954,0.000594286,0.000594286,0.000594286
54,8421.44,0.90397,0.765,1.15709,0.75986,0.57205,0.61473,0.42083,1.27964,0.98046,1.27832,0.000573656,0.000573656,0.000573656
